,run,agentID,other,other_thief,other_suspect,other_cs,other_alib
0,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0
2,0,0,2,0,0,0,0
3,0,0,3,0,0,0,0
4,0,0,4,0,0,0,0
5,0,0,5,0,0,0,0
6,0,0,6,0,0,1,0
7,0,0,7,0,0,0,0
8,0,0,8,0,0,0,0
9,0,0,9,0,0,0,0
10,0,1,0,1,1,0,0
11,0,1,1,0,0,0,0
12,0,1,2,0,0,0,0
13,0,1,3,0,0,0,0
14,0,1,4,0,0,0,0
15,0,1,5,0,0,0,0
16,0,1,6,0,0,0,0
17,0,1,7,0,0,0,0
18,0,1,8,0,0,0,0
19,0,1,9,0,0,0,0
20,0,2,0,1,1,0,0
21,0,2,1,0,0,0,0
22,0,2,2,0,0,0,0
23,0,2,3,0,0,0,0
24,0,2,4,0,0,0,0
25,0,2,5,0,0,0,0
26,0,2,6,0,0,0,0
27,0,2,7,0,0,0,0
28,0,2,8,0,0,0,0
29,0,2,9,0,0,0,0
30,0,3,0,1,1,0,0
31,0,3,1,0,0,0,0
32,0,3,2,0,0,0,0
33,0,3,3,0,0,0,0
34,0,3,4,0,0,0,0
35,0,3,5,0,0,0,0
36,0,3,6,0,0,0,0
37,0,3,7,0,0,0,0
38,0,3,8,0,0,0,0
39,0,3,9,0,0,0,0
40,0,4,0,1,1,0,1
41,0,4,1,0,0,0,0
42,0,4,2,0,0,0,0
43,0,4,3,0,0,0,0
44,0,4,4,0,0,0,0
45,0,4,5,0,0,0,0
46,0,4,6,0,0,1,0
47,0,4,7,0,0,0,0
48,0,4,8,0,0,0,0
49,0,4,9,0,0,0,0
50,0,5,0,1,1,0,0
51,0,5,1,0,0,0,0
52,0,5,2,0,0,0,0
53,0,5,3,0,0,0,0
54,0,5,4,0,0,0,0
55,0,5,5,0,0,0,0
56,0,5,6,0,0,0,0
57,0,5,7,0,0,0,0
58,0,5,8,0,0,0,0
59,0,5,9,0,0,0,0
60,0,6,0,1,1,0,0
61,0,6,1,0,0,0,0
62,0,6,2,0,0,0,0
63,0,6,3,0,0,0,0
64,0,6,4,0,0,0,0
65,0,6,5,0,0,0,0
66,0,6,6,0,0,0,0
67,0,6,7,0,0,0,0
68,0,6,8,0,0,0,0
69,0,6,9,0,0,0,0
70,0,7,0,1,1,0,0
71,0,7,1,0,0,0,0
72,0,7,2,0,0,0,0
73,0,7,3,0,0,0,0
74,0,7,4,0,0,0,0
75,0,7,5,0,0,0,0
76,0,7,6,0,0,0,0
77,0,7,7,0,0,0,0
78,0,7,8,0,0,0,0
79,0,7,9,0,0,0,0
80,0,8,0,1,1,0,0
81,0,8,1,0,0,0,0
82,0,8,2,0,0,0,0
83,0,8,3,0,0,0,0
84,0,8,4,0,0,0,0
85,0,8,5,0,0,0,0
86,0,8,6,0,0,0,0
87,0,8,7,0,0,0,0
88,0,8,8,0,0,0,0
89,0,8,9,0,0,0,0
90,0,9,0,1,1,0,0
91,0,9,1,0,0,0,0
92,0,9,2,0,0,0,0
93,0,9,3,0,0,0,0
94,0,9,4,0,0,0,0
95,0,9,5,0,0,0,0
96,0,9,6,0,0,0,0
97,0,9,7,0,0,0,0
98,0,9,8,0,0,0,0
99,0,9,9,0,0,0,0
0,1,0,0,1,1,0,0
1,1,0,1,0,0,0,0
2,1,0,2,0,0,0,0
3,1,0,3,0,0,0,0
4,1,0,4,0,0,0,0
5,1,0,5,0,0,0,0
6,1,0,6,0,0,1,0
7,1,0,7,0,0,0,0
8,1,0,8,0,0,0,0
9,1,0,9,0,0,0,0
10,1,1,0,1,1,0,0
11,1,1,1,0,0,0,0
12,1,1,2,0,0,0,0
13,1,1,3,0,0,0,0
14,1,1,4,0,0,0,0
15,1,1,5,0,0,0,0
16,1,1,6,0,0,0,0
17,1,1,7,0,0,0,0
18,1,1,8,0,0,0,0
19,1,1,9,0,0,0,0
20,1,2,0,1,1,1,0
21,1,2,1,0,0,0,0
22,1,2,2,0,0,0,0
23,1,2,3,0,0,0,0
24,1,2,4,0,0,0,0
25,1,2,5,0,0,0,0
26,1,2,6,0,0,1,0
27,1,2,7,0,0,0,1
28,1,2,8,0,0,0,0
29,1,2,9,0,0,0,0
30,1,3,0,1,1,0,0
31,1,3,1,0,0,0,0
32,1,3,2,0,0,0,0
33,1,3,3,0,0,0,0
34,1,3,4,0,0,0,0
35,1,3,5,0,0,0,0
36,1,3,6,0,0,0,0
37,1,3,7,0,0,0,0
38,1,3,8,0,0,0,0
39,1,3,9,0,0,0,0
40,1,4,0,1,1,0,0
41,1,4,1,0,0,0,0
42,1,4,2,0,0,0,0
43,1,4,3,0,0,0,0
44,1,4,4,0,0,0,0
45,1,4,5,0,0,0,0
46,1,4,6,0,0,0,0
47,1,4,7,0,0,0,0
48,1,4,8,0,0,0,0
49,1,4,9,0,0,0,0
50,1,5,0,1,1,0,0
51,1,5,1,0,0,0,0
52,1,5,2,0,0,0,0
53,1,5,3,0,0,0,0
54,1,5,4,0,0,0,0
55,1,5,5,0,0,0,0
56,1,5,6,0,0,0,0
57,1,5,7,0,0,0,0
58,1,5,8,0,0,0,0
59,1,5,9,0,0,0,0
60,1,6,0,1,1,0,0
61,1,6,1,0,0,0,0
62,1,6,2,0,0,0,0
63,1,6,3,0,0,0,0
64,1,6,4,0,0,0,0
65,1,6,5,0,0,0,0
66,1,6,6,0,0,0,0
67,1,6,7,0,0,0,0
68,1,6,8,0,0,0,0
69,1,6,9,0,0,0,0
70,1,7,0,1,1,0,0
71,1,7,1,0,0,0,0
72,1,7,2,0,0,0,0
73,1,7,3,0,0,0,0
74,1,7,4,0,0,0,0
75,1,7,5,0,0,0,0
76,1,7,6,0,0,0,0
77,1,7,7,0,0,0,0
78,1,7,8,0,0,0,0
79,1,7,9,0,0,0,0
80,1,8,0,1,1,0,0
81,1,8,1,0,0,0,0
82,1,8,2,0,0,0,0
83,1,8,3,0,0,0,0
84,1,8,4,0,0,0,0
85,1,8,5,0,0,0,0
86,1,8,6,0,0,0,0
87,1,8,7,0,0,0,0
88,1,8,8,0,0,0,0
89,1,8,9,0,0,0,0
90,1,9,0,1,1,0,0
91,1,9,1,0,0,0,0
92,1,9,2,0,0,0,0
93,1,9,3,0,0,0,0
94,1,9,4,0,0,0,0
95,1,9,5,0,0,0,0
96,1,9,6,0,0,0,0
97,1,9,7,0,0,0,0
98,1,9,8,0,0,0,0
99,1,9,9,0,0,0,0
0,2,0,0,1,1,0,0
1,2,0,1,0,0,0,0
2,2,0,2,0,0,0,0
3,2,0,3,0,0,0,0
4,2,0,4,0,0,0,0
5,2,0,5,0,0,0,0
6,2,0,6,0,0,0,0
7,2,0,7,0,0,0,0
8,2,0,8,0,0,0,0
9,2,0,9,0,0,0,0
10,2,1,0,1,1,0,0
11,2,1,1,0,0,0,0
12,2,1,2,0,0,0,0
13,2,1,3,0,0,0,0
14,2,1,4,0,0,0,0
15,2,1,5,0,0,0,0
16,2,1,6,0,0,0,0
17,2,1,7,0,0,0,0
18,2,1,8,0,0,0,0
19,2,1,9,0,0,0,0
20,2,2,0,1,1,0,0
21,2,2,1,0,0,0,0
22,2,2,2,0,0,0,0
23,2,2,3,0,0,0,0
24,2,2,4,0,0,0,0
25,2,2,5,0,0,0,0
26,2,2,6,0,0,0,0
27,2,2,7,0,0,0,0
28,2,2,8,0,0,0,0
29,2,2,9,0,0,0,0
30,2,3,0,1,1,0,0
31,2,3,1,0,0,1,0
32,2,3,2,0,0,0,0
33,2,3,3,0,0,0,0
34,2,3,4,0,0,0,0
35,2,3,5,0,0,0,0
36,2,3,6,0,0,0,1
37,2,3,7,0,0,0,1
38,2,3,8,0,0,0,0
39,2,3,9,0,0,1,0
40,2,4,0,1,1,0,0
41,2,4,1,0,0,0,0
42,2,4,2,0,0,0,0
43,2,4,3,0,0,0,0
44,2,4,4,0,0,0,0
45,2,4,5,0,0,0,0
46,2,4,6,0,0,0,0
47,2,4,7,0,0,0,0
48,2,4,8,0,0,0,0
49,2,4,9,0,0,0,0
50,2,5,0,1,1,0,0
51,2,5,1,0,0,0,0
52,2,5,2,0,0,0,0
53,2,5,3,0,0,0,0
54,2,5,4,0,0,0,0
55,2,5,5,0,0,0,0
56,2,5,6,0,0,0,0
57,2,5,7,0,0,0,0
58,2,5,8,0,0,0,0
59,2,5,9,0,0,0,0
60,2,6,0,1,1,0,0
61,2,6,1,0,0,1,0
62,2,6,2,0,0,0,0
63,2,6,3,0,0,0,1
64,2,6,4,0,0,0,0
65,2,6,5,0,0,0,0
66,2,6,6,0,0,0,0
67,2,6,7,0,0,0,1
68,2,6,8,0,0,0,0
69,2,6,9,0,0,1,0
70,2,7,0,1,1,0,0
71,2,7,1,0,0,1,0
72,2,7,2,0,0,0,0
73,2,7,3,0,0,0,1
74,2,7,4,0,0,0,0
75,2,7,5,0,0,0,0
76,2,7,6,0,0,0,0
77,2,7,7,0,0,0,0
78,2,7,8,0,0,0,0
79,2,7,9,0,0,1,0
80,2,8,0,1,1,0,0
81,2,8,1,0,0,0,0
82,2,8,2,0,0,0,0
83,2,8,3,0,0,0,0
84,2,8,4,0,0,0,0
85,2,8,5,0,0,0,0
86,2,8,6,0,0,0,0
87,2,8,7,0,0,0,0
88,2,8,8,0,0,0,0
89,2,8,9,0,0,0,0
90,2,9,0,1,1,0,0
91,2,9,1,0,0,0,0
92,2,9,2,0,0,0,0
93,2,9,3,0,0,0,0
94,2,9,4,0,0,0,0
95,2,9,5,0,0,0,0
96,2,9,6,0,0,0,0
97,2,9,7,0,0,0,0
98,2,9,8,0,0,0,0
99,2,9,9,0,0,0,0
0,3,0,0,1,1,0,0
1,3,0,1,0,0,1,0
2,3,0,2,0,0,0,0
3,3,0,3,0,0,0,0
4,3,0,4,0,0,0,0
5,3,0,5,0,0,0,0
6,3,0,6,0,0,0,0
7,3,0,7,0,0,1,0
8,3,0,8,0,0,0,0
9,3,0,9,0,0,0,0
10,3,1,0,1,1,1,0
11,3,1,1,0,0,0,0
12,3,1,2,0,0,0,0
13,3,1,3,0,0,0,0
14,3,1,4,0,0,0,0
15,3,1,5,0,0,0,0
16,3,1,6,0,0,0,0
17,3,1,7,0,0,1,0
18,3,1,8,0,0,0,0
19,3,1,9,0,0,0,0
20,3,2,0,1,1,1,0
21,3,2,1,0,0,1,0
22,3,2,2,0,0,0,0
23,3,2,3,0,0,0,0
24,3,2,4,0,0,0,0
25,3,2,5,0,0,0,0
26,3,2,6,0,0,0,1
27,3,2,7,0,0,1,0
28,3,2,8,0,0,0,0
29,3,2,9,0,0,0,0
30,3,3,0,1,1,0,0
31,3,3,1,0,0,0,0
32,3,3,2,0,0,0,0
33,3,3,3,0,0,0,0
34,3,3,4,0,0,0,0
35,3,3,5,0,0,0,0
36,3,3,6,0,0,0,0
37,3,3,7,0,0,0,0
38,3,3,8,0,0,0,0
39,3,3,9,0,0,0,0
40,3,4,0,1,1,0,0
41,3,4,1,0,0,0,0
42,3,4,2,0,0,0,0
43,3,4,3,0,0,0,0
44,3,4,4,0,0,0,0
45,3,4,5,0,0,0,0
46,3,4,6,0,0,0,0
47,3,4,7,0,0,0,0
48,3,4,8,0,0,0,0
49,3,4,9,0,0,0,0
50,3,5,0,1,1,0,0
51,3,5,1,0,0,0,0
52,3,5,2,0,0,0,0
53,3,5,3,0,0,0,0
54,3,5,4,0,0,0,0
55,3,5,5,0,0,0,0
56,3,5,6,0,0,0,0
57,3,5,7,0,0,0,0
58,3,5,8,0,0,0,0
59,3,5,9,0,0,0,0
60,3,6,0,1,1,1,0
61,3,6,1,0,0,1,0
62,3,6,2,0,0,0,0
63,3,6,3,0,0,0,0
64,3,6,4,0,0,0,0
65,3,6,5,0,0,0,0
66,3,6,6,0,0,0,0
67,3,6,7,0,0,1,0
68,3,6,8,0,0,0,0
69,3,6,9,0,0,0,1
70,3,7,0,1,1,0,0
71,3,7,1,0,0,0,0
72,3,7,2,0,0,0,0
73,3,7,3,0,0,0,0
74,3,7,4,0,0,0,0
75,3,7,5,0,0,0,0
76,3,7,6,0,0,0,0
77,3,7,7,0,0,0,0
78,3,7,8,0,0,0,0
79,3,7,9,0,0,0,0
80,3,8,0,1,1,0,0
81,3,8,1,0,0,0,0
82,3,8,2,0,0,0,0
83,3,8,3,0,0,0,0
84,3,8,4,0,0,0,0
85,3,8,5,0,0,0,0
86,3,8,6,0,0,0,0
87,3,8,7,0,0,0,0
88,3,8,8,0,0,0,0
89,3,8,9,0,0,0,0
90,3,9,0,1,1,0,0
91,3,9,1,0,0,0,0
92,3,9,2,0,0,0,0
93,3,9,3,0,0,0,0
94,3,9,4,0,0,0,0
95,3,9,5,0,0,0,0
96,3,9,6,0,0,0,0
97,3,9,7,0,0,0,0
98,3,9,8,0,0,0,0
99,3,9,9,0,0,0,0
0,4,0,0,1,1,0,0
1,4,0,1,0,0,0,0
2,4,0,2,0,0,0,0
3,4,0,3,0,0,0,0
4,4,0,4,0,0,0,0
5,4,0,5,0,0,1,0
6,4,0,6,0,0,1,0
7,4,0,7,0,0,1,0
8,4,0,8,0,0,0,0
9,4,0,9,0,0,0,0
10,4,1,0,1,1,1,0
11,4,1,1,0,0,0,0
12,4,1,2,0,0,0,0
13,4,1,3,0,0,0,0
14,4,1,4,0,0,0,0
15,4,1,5,0,0,1,0
16,4,1,6,0,0,1,0
17,4,1,7,0,0,1,0
18,4,1,8,0,0,0,0
19,4,1,9,0,0,0,1
20,4,2,0,1,1,1,0
21,4,2,1,0,0,0,1
22,4,2,2,0,0,0,0
23,4,2,3,0,0,0,0
24,4,2,4,0,0,0,0
25,4,2,5,0,0,1,0
26,4,2,6,0,0,1,0
27,4,2,7,0,0,1,0
28,4,2,8,0,0,0,0
29,4,2,9,0,0,0,1
30,4,3,0,1,1,1,0
31,4,3,1,0,0,0,1
32,4,3,2,0,0,0,1
33,4,3,3,0,0,0,0
34,4,3,4,0,0,0,1
35,4,3,5,0,0,1,0
36,4,3,6,0,0,1,0
37,4,3,7,0,0,1,0
38,4,3,8,0,0,0,0
39,4,3,9,0,0,0,1
40,4,4,0,1,1,1,0
41,4,4,1,0,0,0,1
42,4,4,2,0,0,0,1
43,4,4,3,0,0,0,0
44,4,4,4,0,0,0,0
45,4,4,5,0,0,1,0
46,4,4,6,0,0,1,0
47,4,4,7,0,0,1,0
48,4,4,8,0,0,0,0
49,4,4,9,0,0,0,1
50,4,5,0,1,1,0,0
51,4,5,1,0,0,0,0
52,4,5,2,0,0,0,0
53,4,5,3,0,0,0,0
54,4,5,4,0,0,0,0
55,4,5,5,0,0,0,0
56,4,5,6,0,0,0,0
57,4,5,7,0,0,0,0
58,4,5,8,0,0,0,0
59,4,5,9,0,0,0,0
60,4,6,0,1,1,1,0
61,4,6,1,0,0,0,0
62,4,6,2,0,0,0,0
63,4,6,3,0,0,0,0
64,4,6,4,0,0,0,0
65,4,6,5,0,0,1,0
66,4,6,6,0,0,0,0
67,4,6,7,0,0,1,0
68,4,6,8,0,0,0,0
69,4,6,9,0,0,0,0
70,4,7,0,1,1,1,0
71,4,7,1,0,0,0,0
72,4,7,2,0,0,0,0
73,4,7,3,0,0,0,0
74,4,7,4,0,0,0,0
75,4,7,5,0,0,1,0
76,4,7,6,0,0,1,0
77,4,7,7,0,0,0,0
78,4,7,8,0,0,0,0
79,4,7,9,0,0,0,0
80,4,8,0,1,1,1,0
81,4,8,1,0,0,0,0
82,4,8,2,0,0,0,0
83,4,8,3,0,0,0,0
84,4,8,4,0,0,0,0
85,4,8,5,0,0,1,0
86,4,8,6,0,0,1,0
87,4,8,7,0,0,1,0
88,4,8,8,0,0,0,0
89,4,8,9,0,0,0,0
90,4,9,0,1,1,0,0
91,4,9,1,0,0,0,0
92,4,9,2,0,0,0,0
93,4,9,3,0,0,0,0
94,4,9,4,0,0,0,0
95,4,9,5,0,0,0,0
96,4,9,6,0,0,0,0
97,4,9,7,0,0,0,0
98,4,9,8,0,0,0,0
99,4,9,9,0,0,0,0
0,5,0,0,1,1,0,0
1,5,0,1,0,0,0,0
2,5,0,2,0,0,0,0
3,5,0,3,0,0,0,0
4,5,0,4,0,0,0,0
5,5,0,5,0,0,0,0
6,5,0,6,0,0,0,0
7,5,0,7,0,0,0,0
8,5,0,8,0,0,0,0
9,5,0,9,0,0,0,0
10,5,1,0,1,1,0,0
11,5,1,1,0,0,0,0
12,5,1,2,0,0,0,0
13,5,1,3,0,0,0,0
14,5,1,4,0,0,0,0
15,5,1,5,0,0,0,0
16,5,1,6,0,0,0,0
17,5,1,7,0,0,0,0
18,5,1,8,0,0,0,0
19,5,1,9,0,0,0,0
20,5,2,0,1,1,0,0
21,5,2,1,0,0,0,0
22,5,2,2,0,0,0,0
23,5,2,3,0,0,0,0
24,5,2,4,0,0,0,0
25,5,2,5,0,0,0,0
26,5,2,6,0,0,0,0
27,5,2,7,0,0,0,0
28,5,2,8,0,0,0,0
29,5,2,9,0,0,0,0
30,5,3,0,1,1,0,0
31,5,3,1,0,0,0,0
32,5,3,2,0,0,0,0
33,5,3,3,0,0,0,0
34,5,3,4,0,0,0,0
35,5,3,5,0,0,0,0
36,5,3,6,0,0,0,0
37,5,3,7,0,0,0,0
38,5,3,8,0,0,0,0
39,5,3,9,0,0,0,0
40,5,4,0,1,1,0,0
41,5,4,1,0,0,0,0
42,5,4,2,0,0,0,0
43,5,4,3,0,0,0,0
44,5,4,4,0,0,0,0
45,5,4,5,0,0,0,0
46,5,4,6,0,0,0,0
47,5,4,7,0,0,0,0
48,5,4,8,0,0,0,0
49,5,4,9,0,0,0,0
50,5,5,0,1,1,0,0
51,5,5,1,0,0,0,0
52,5,5,2,0,0,0,0
53,5,5,3,0,0,0,0
54,5,5,4,0,0,0,0
55,5,5,5,0,0,0,0
56,5,5,6,0,0,0,0
57,5,5,7,0,0,0,0
58,5,5,8,0,0,0,0
59,5,5,9,0,0,0,0
60,5,6,0,1,1,0,0
61,5,6,1,0,0,0,0
62,5,6,2,0,0,0,0
63,5,6,3,0,0,0,0
64,5,6,4,0,0,0,0
65,5,6,5,0,0,0,0
66,5,6,6,0,0,0,0
67,5,6,7,0,0,0,0
68,5,6,8,0,0,0,0
69,5,6,9,0,0,0,0
70,5,7,0,1,1,0,0
71,5,7,1,0,0,0,0
72,5,7,2,0,0,0,0
73,5,7,3,0,0,0,0
74,5,7,4,0,0,0,0
75,5,7,5,0,0,0,0
76,5,7,6,0,0,0,0
77,5,7,7,0,0,0,0
78,5,7,8,0,0,0,0
79,5,7,9,0,0,0,0
80,5,8,0,1,1,0,0
81,5,8,1,0,0,0,0
82,5,8,2,0,0,0,0
83,5,8,3,0,0,0,0
84,5,8,4,0,0,0,0
85,5,8,5,0,0,0,0
86,5,8,6,0,0,0,0
87,5,8,7,0,0,0,0
88,5,8,8,0,0,0,0
89,5,8,9,0,0,0,0
90,5,9,0,1,1,0,0
91,5,9,1,0,0,0,0
92,5,9,2,0,0,0,0
93,5,9,3,0,0,0,0
94,5,9,4,0,0,0,0
95,5,9,5,0,0,0,0
96,5,9,6,0,0,0,0
97,5,9,7,0,0,0,0
98,5,9,8,0,0,0,0
99,5,9,9,0,0,0,0
0,6,0,0,1,1,0,0
1,6,0,1,0,0,0,0
2,6,0,2,0,0,0,0
3,6,0,3,0,0,0,0
4,6,0,4,0,0,0,0
5,6,0,5,0,0,0,0
6,6,0,6,0,0,0,0
7,6,0,7,0,0,1,0
8,6,0,8,0,0,0,0
9,6,0,9,0,0,0,0
10,6,1,0,1,1,0,0
11,6,1,1,0,0,0,0
12,6,1,2,0,0,0,0
13,6,1,3,0,0,0,0
14,6,1,4,0,0,0,0
15,6,1,5,0,0,0,0
16,6,1,6,0,0,0,0
17,6,1,7,0,0,0,0
18,6,1,8,0,0,0,0
19,6,1,9,0,0,0,0
20,6,2,0,1,1,0,0
21,6,2,1,0,0,0,0
22,6,2,2,0,0,0,0
23,6,2,3,0,0,0,0
24,6,2,4,0,0,0,0
25,6,2,5,0,0,0,0
26,6,2,6,0,0,0,0
27,6,2,7,0,0,0,0
28,6,2,8,0,0,0,0
29,6,2,9,0,0,0,0
30,6,3,0,1,1,0,0
31,6,3,1,0,0,0,0
32,6,3,2,0,0,0,0
33,6,3,3,0,0,0,0
34,6,3,4,0,0,0,0
35,6,3,5,0,0,0,0
36,6,3,6,0,0,0,0
37,6,3,7,0,0,0,0
38,6,3,8,0,0,0,0
39,6,3,9,0,0,0,0
40,6,4,0,1,1,0,0
41,6,4,1,0,0,0,0
42,6,4,2,0,0,0,0
43,6,4,3,0,0,0,0
44,6,4,4,0,0,0,0
45,6,4,5,0,0,0,0
46,6,4,6,0,0,0,0
47,6,4,7,0,0,0,0
48,6,4,8,0,0,0,0
49,6,4,9,0,0,0,0
50,6,5,0,1,1,0,0
51,6,5,1,0,0,0,0
52,6,5,2,0,0,0,0
53,6,5,3,0,0,0,0
54,6,5,4,0,0,0,0
55,6,5,5,0,0,0,0
56,6,5,6,0,0,0,0
57,6,5,7,0,0,0,0
58,6,5,8,0,0,0,0
59,6,5,9,0,0,0,0
60,6,6,0,1,1,0,0
61,6,6,1,0,0,0,0
62,6,6,2,0,0,0,0
63,6,6,3,0,0,0,0
64,6,6,4,0,0,0,0
65,6,6,5,0,0,0,0
66,6,6,6,0,0,0,0
67,6,6,7,0,0,0,0
68,6,6,8,0,0,0,0
69,6,6,9,0,0,0,0
70,6,7,0,1,1,0,0
71,6,7,1,0,0,0,0
72,6,7,2,0,0,0,0
73,6,7,3,0,0,0,0
74,6,7,4,0,0,0,0
75,6,7,5,0,0,0,0
76,6,7,6,0,0,0,0
77,6,7,7,0,0,0,0
78,6,7,8,0,0,0,0
79,6,7,9,0,0,0,0
80,6,8,0,1,1,0,0
81,6,8,1,0,0,0,0
82,6,8,2,0,0,0,0
83,6,8,3,0,0,0,0
84,6,8,4,0,0,0,0
85,6,8,5,0,0,0,0
86,6,8,6,0,0,0,0
87,6,8,7,0,0,0,0
88,6,8,8,0,0,0,0
89,6,8,9,0,0,0,0
90,6,9,0,1,1,0,0
91,6,9,1,0,0,0,0
92,6,9,2,0,0,0,0
93,6,9,3,0,0,0,0
94,6,9,4,0,0,0,0
95,6,9,5,0,0,0,0
96,6,9,6,0,0,0,0
97,6,9,7,0,0,0,0
98,6,9,8,0,0,0,0
99,6,9,9,0,0,0,0
0,7,0,0,1,1,0,0
1,7,0,1,0,0,0,0
2,7,0,2,0,0,0,0
3,7,0,3,0,0,0,0
4,7,0,4,0,0,0,0
5,7,0,5,0,0,0,0
6,7,0,6,0,0,0,0
7,7,0,7,0,0,1,0
8,7,0,8,0,0,0,0
9,7,0,9,0,0,0,0
10,7,1,0,1,1,0,0
11,7,1,1,0,0,0,0
12,7,1,2,0,0,0,0
13,7,1,3,0,0,0,0
14,7,1,4,0,0,0,0
15,7,1,5,0,0,0,0
16,7,1,6,0,0,0,0
17,7,1,7,0,0,0,0
18,7,1,8,0,0,0,0
19,7,1,9,0,0,0,0
20,7,2,0,1,1,0,0
21,7,2,1,0,0,0,0
22,7,2,2,0,0,0,0
23,7,2,3,0,0,0,0
24,7,2,4,0,0,0,0
25,7,2,5,0,0,0,0
26,7,2,6,0,0,0,0
27,7,2,7,0,0,0,0
28,7,2,8,0,0,0,0
29,7,2,9,0,0,0,0
30,7,3,0,1,1,0,0
31,7,3,1,0,0,0,0
32,7,3,2,0,0,0,0
33,7,3,3,0,0,0,0
34,7,3,4,0,0,0,0
35,7,3,5,0,0,0,0
36,7,3,6,0,0,0,0
37,7,3,7,0,0,0,0
38,7,3,8,0,0,0,0
39,7,3,9,0,0,0,0
40,7,4,0,1,1,0,0
41,7,4,1,0,0,0,0
42,7,4,2,0,0,0,0
43,7,4,3,0,0,0,0
44,7,4,4,0,0,0,0
45,7,4,5,0,0,0,0
46,7,4,6,0,0,0,0
47,7,4,7,0,0,0,0
48,7,4,8,0,0,0,0
49,7,4,9,0,0,0,0
50,7,5,0,1,1,0,0
51,7,5,1,0,0,0,0
52,7,5,2,0,0,0,0
53,7,5,3,0,0,0,0
54,7,5,4,0,0,0,0
55,7,5,5,0,0,0,0
56,7,5,6,0,0,0,0
57,7,5,7,0,0,0,0
58,7,5,8,0,0,0,0
59,7,5,9,0,0,0,0
60,7,6,0,1,1,0,0
61,7,6,1,0,0,0,0
62,7,6,2,0,0,0,0
63,7,6,3,0,0,0,0
64,7,6,4,0,0,0,0
65,7,6,5,0,0,0,0
66,7,6,6,0,0,0,0
67,7,6,7,0,0,0,0
68,7,6,8,0,0,0,0
69,7,6,9,0,0,0,0
70,7,7,0,1,1,0,0
71,7,7,1,0,0,0,0
72,7,7,2,0,0,0,0
73,7,7,3,0,0,0,0
74,7,7,4,0,0,0,0
75,7,7,5,0,0,0,0
76,7,7,6,0,0,0,0
77,7,7,7,0,0,0,0
78,7,7,8,0,0,0,0
79,7,7,9,0,0,0,0
80,7,8,0,1,1,0,0
